,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,Telephone
0,1,1,18,3,2,1049,1,1,4,1,2,21,2,1,1,2,1
1,1,1,9,3,0,2799,1,2,2,2,1,36,2,1,2,2,1
2,1,2,12,2,0,841,2,3,2,1,1,23,2,1,1,1,1
3,1,1,12,3,0,2122,1,2,3,2,1,39,2,1,2,1,1
4,1,1,12,3,0,2171,1,2,4,2,2,38,1,2,2,1,1
5,1,1,10,3,0,2241,1,1,1,2,1,48,2,1,2,1,1
6,1,1,8,3,0,3398,1,3,1,2,1,39,2,2,2,1,1
7,1,1,6,3,0,1361,1,1,2,2,1,40,2,2,1,1,1
8,1,3,18,3,3,1098,1,1,4,1,3,65,2,2,2,1,1
9,1,2,24,2,3,3758,3,1,1,1,4,23,2,1,1,1,1
10,1,1,11,3,0,3905,1,2,2,2,1,36,2,1,2,2,1
11,1,1,30,3,1,6187,2,3,1,3,3,24,2,1,2,2,1
12,1,1,6,3,3,1957,1,3,1,1,3,31,2,2,1,2,1
13,1,2,48,3,0,7582,2,1,2,2,4,31,2,2,1,3,2
14,1,1,18,2,3,1936,4,3,2,3,3,23,2,1,2,1,1
15,1,1,6,2,3,2647,3,2,2,2,1,44,2,1,1,2,1
16,1,1,11,3,0,3939,1,2,1,2,1,40,2,2,2,1,1
17,1,2,18,2,3,3213,3,1,1,3,1,25,2,1,1,2,1
18,1,2,36,3,3,2337,1,4,4,2,1,36,2,2,1,2,1
19,1,3,11,3,0,7228,1,2,1,2,2,39,2,2,2,1,1
20,1,1,6,3,0,3676,1,2,1,2,1,37,2,1,2,2,1
21,1,2,12,3,0,3124,1,1,1,2,1,49,1,2,2,1,1
22,0,2,36,2,3,2384,1,1,4,2,4,33,2,1,1,1,1
23,1,2,12,3,3,1424,1,3,4,2,2,26,2,2,1,2,1
24,1,1,6,3,0,4716,4,1,1,2,1,44,2,2,2,1,1
25,1,2,11,3,3,4771,1,3,2,2,2,51,2,2,1,2,1
26,1,1,12,2,2,652,1,4,4,1,2,24,2,1,1,2,1
27,1,2,9,3,3,1154,1,4,2,2,1,37,2,2,2,1,1
28,1,3,15,2,0,3556,4,2,3,2,4,29,2,2,1,2,1
29,1,3,42,3,1,4796,1,4,4,2,4,56,2,3,1,2,1
30,1,3,30,3,3,3017,1,4,4,2,2,47,2,2,1,2,1
31,1,3,36,3,0,3535,1,3,4,2,3,37,2,2,2,2,2
32,1,3,36,3,0,6614,1,4,4,2,3,34,2,2,2,3,2
33,1,3,24,2,3,1376,3,3,4,1,3,28,2,2,1,2,1
34,1,1,15,2,0,1721,1,1,2,2,1,36,2,2,1,2,1
35,1,1,6,3,0,860,1,4,1,1,4,39,2,2,2,2,2
36,1,3,12,3,0,1495,1,4,4,2,1,38,2,2,2,1,1
37,1,3,12,3,3,1934,1,4,2,2,4,26,2,2,2,2,1
38,1,3,18,2,1,3378,4,2,2,2,2,31,2,2,1,2,2
39,1,3,24,3,1,3868,1,4,4,1,3,41,2,1,2,3,2
40,1,3,12,3,3,996,4,3,4,1,1,23,2,2,2,2,1
41,1,1,24,2,0,1755,1,4,4,1,1,58,2,2,1,1,2
42,1,3,18,3,0,1028,1,2,4,1,1,36,2,2,2,2,1
43,1,2,24,3,0,2825,4,3,4,2,4,34,2,2,2,2,2
44,1,2,18,2,3,1239,4,2,4,2,4,61,2,3,1,2,1
45,0,1,18,2,0,1216,1,1,4,1,3,23,2,1,1,2,2
46,1,3,24,2,0,1258,1,3,4,2,1,25,2,2,1,2,2
47,0,3,18,3,3,1864,2,2,4,1,1,30,2,2,2,2,1
48,1,3,24,2,0,1474,2,1,4,3,1,33,2,2,1,2,2
49,1,1,24,3,0,1382,2,3,4,2,1,26,2,2,2,2,2
50,1,3,12,2,0,640,1,2,4,1,1,49,2,2,1,1,1
51,1,3,36,2,3,3919,1,2,2,2,1,23,2,2,1,2,2
52,1,3,9,3,0,1224,1,2,3,2,1,30,2,2,2,2,1
