,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,Telephone
0,1,1,7,3,2,8,1,1,4,1,2,1,2,1,1,2,1
1,1,1,9,3,0,6,1,2,2,2,1,2,2,1,1,2,1
2,1,2,8,2,3,9,2,3,2,1,1,1,2,1,1,1,1
3,1,1,8,3,0,7,1,2,3,2,1,2,2,1,1,1,1
4,1,1,8,3,0,7,1,2,4,2,2,2,1,2,1,1,1
5,1,1,9,3,0,7,1,1,1,2,1,3,2,1,1,1,1
6,1,1,9,3,0,6,1,3,1,2,1,2,2,2,1,1,1
7,1,1,9,3,0,8,1,1,2,2,1,3,2,2,1,1,1
8,1,3,7,3,3,8,1,1,4,1,3,5,2,2,1,1,1
9,1,2,6,2,3,6,3,1,1,1,4,1,2,1,1,1,1
10,1,1,9,3,0,6,1,2,2,2,1,2,2,1,1,2,1
11,1,1,5,3,1,5,2,3,1,3,3,1,2,1,1,2,1
12,1,1,9,3,3,7,1,3,1,1,3,2,2,2,1,2,1
13,1,2,2,3,3,4,2,1,2,2,4,2,2,2,1,3,2
14,1,1,7,2,3,7,4,3,2,3,3,1,2,1,1,1,1
15,1,1,9,2,3,6,3,2,2,2,1,3,2,1,1,2,1
16,1,1,9,3,0,6,1,2,1,2,1,3,2,2,1,1,1
17,1,2,7,2,3,6,3,1,1,3,1,1,2,1,1,2,1
18,1,2,4,3,3,7,1,4,4,2,1,2,2,2,1,2,1
19,1,3,9,3,0,5,1,2,1,2,2,2,2,2,1,1,1
20,1,1,9,3,0,6,1,2,1,2,1,2,2,1,1,2,1
21,1,2,8,3,0,6,1,1,1,2,1,3,1,2,1,1,1
22,0,2,4,2,3,7,1,1,4,2,4,2,2,1,1,1,1
23,1,2,8,3,3,8,1,3,4,2,2,2,2,2,1,2,1
24,1,1,9,3,0,6,4,1,1,2,1,3,2,2,1,1,1
25,1,2,9,3,3,6,1,3,2,2,2,3,2,2,1,2,1
26,1,1,8,2,2,9,1,4,4,1,2,1,2,1,1,2,1
27,1,2,9,3,3,8,1,4,2,2,1,2,2,2,1,1,1
28,1,3,8,2,0,6,4,2,3,2,4,2,2,2,1,2,1
29,1,3,3,3,1,6,1,4,4,2,4,3,2,3,1,2,1
30,1,3,5,3,3,6,1,4,4,2,2,3,2,2,1,2,1
31,1,3,4,3,0,6,1,3,4,2,3,2,2,2,1,2,2
32,1,3,4,3,0,5,1,4,4,2,3,2,2,2,1,3,2
33,1,3,6,2,3,8,3,3,4,1,3,2,2,2,1,2,1
34,1,1,8,2,0,7,1,1,2,2,1,2,2,2,1,2,1
35,1,1,9,3,0,9,1,4,1,1,4,2,2,2,1,2,2
36,1,3,8,3,0,8,1,4,4,2,1,2,2,2,1,1,1
37,1,3,8,3,3,7,1,4,2,2,4,2,2,2,1,2,1
38,1,3,7,2,1,6,4,2,2,2,2,2,2,2,1,2,2
39,1,3,6,3,1,6,1,4,4,1,3,3,2,1,1,3,2
40,1,3,8,3,3,9,4,3,4,1,1,1,2,2,1,2,1
41,1,1,6,2,3,7,1,4,4,1,1,3,2,2,1,1,2
42,1,3,7,3,0,8,1,2,4,1,1,2,2,2,1,2,1
43,1,2,6,3,3,6,4,3,4,2,4,2,2,2,1,2,2
44,1,2,7,2,3,8,4,2,4,2,4,4,2,3,1,2,1
45,0,1,7,2,0,8,1,1,4,1,3,1,2,1,1,2,2
46,1,3,6,2,3,8,1,3,4,2,1,1,2,2,1,2,2
47,0,3,7,3,3,7,2,2,4,1,1,2,2,2,1,2,1
48,1,3,6,2,0,8,2,1,4,3,1,2,2,2,1,2,2
49,1,1,6,3,3,8,2,3,4,2,1,2,2,2,1,2,2
50,1,3,8,2,0,9,1,2,4,1,1,3,2,2,1,1,1
51,1,3,4,2,3,6,1,2,2,2,1,1,2,2,1,2,2
52,1,3,9,3,0,8,1,2,3,2,1,2,2,2,1,2,1
53,1,3,8,3,3,7,4,4,1,2,1,3,2,2,1,2,2
54,1,3,6,2,1,5,4,4,3,2,3,3,2,2,1,3,2
55,1,1,8,3,3,10,1,3,4,1,1,3,2,2,1,1,2
56,1,3,8,3,3,7,1,4,2,2,1,4,2,2,1,1,2
57,1,1,8,2,3,8,1,1,4,3,1,2,2,2,1,2,1
58,1,3,7,2,3,6,4,4,4,2,2,3,2,2,1,2,2
59,1,3,4,2,0,6,4,2,4,2,1,2,2,2,1,2,1
60,1,3,8,3,0,8,3,2,4,2,1,3,2,2,1,2,2
61,1,3,6,2,1,6,1,1,4,1,4,2,2,2,1,3,2
62,1,3,2,3,3,6,4,4,4,2,1,3,2,2,1,2,2
63,1,3,4,3,0,3,1,4,2,2,3,3,2,2,1,2,2
64,1,1,8,3,0,8,1,2,4,2,1,3,2,2,1,1,1
65,1,3,9,3,3,8,2,2,1,1,2,2,2,2,1,2,1
66,1,3,8,2,3,6,1,2,2,2,3,3,2,2,1,2,2
67,1,3,6,2,3,7,1,3,4,2,3,2,2,2,1,2,2
68,1,2,8,2,3,7,1,2,1,1,3,1,2,2,1,2,2
69,1,3,6,3,0,7,1,4,4,2,4,4,2,3,1,2,2
70,1,2,7,3,2,6,3,3,3,2,3,2,2,2,1,2,2
71,1,3,5,2,3,7,4,4,4,2,3,3,2,2,1,2,2
72,1,3,4,2,3,7,3,4,4,2,3,2,2,2,1,2,1
73,1,3,6,2,2,9,4,3,4,2,3,2,1,2,1,2,2
74,1,3,8,2,3,6,4,4,2,2,3,2,2,2,1,3,1
75,1,2,9,2,2,7,4,3,2,2,3,1,2,2,1,2,2
76,1,3,7,3,1,6,1,4,1,2,3,2,2,2,1,3,2
77,1,3,6,3,0,7,3,4,4,2,1,4,2,2,1,2,2
78,1,1,7,3,0,7,1,4,4,3,3,2,2,2,1,2,2
79,1,3,8,2,3,7,4,4,4,2,3,2,2,2,1,2,1
80,1,3,6,3,0,7,1,2,4,1,3,2,2,2,1,2,2
81,1,3,4,3,3,6,4,4,4,2,3,3,2,2,1,2,2
82,1,2,7,2,0,5,2,2,2,2,3,2,2,2,1,2,2
83,1,3,8,3,1,7,3,2,2,2,3,2,2,2,1,2,2
84,1,3,8,3,2,7,4,4,4,2,2,4,2,2,1,2,1
85,1,1,8,2,0,6,3,2,1,2,2,2,2,2,1,2,1
86,1,3,6,3,1,7,1,3,4,2,3,2,2,2,1,2,2
87,1,3,4,3,3,6,1,2,4,1,1,2,2,2,1,2,1
88,1,1,9,3,0,9,3,3,3,1,1,2,2,2,1,1,2
89,1,2,6,3,0,7,4,2,4,1,3,3,2,1,1,2,2
90,1,2,8,3,0,7,2,1,4,2,3,2,2,2,1,2,1
91,1,2,5,2,3,6,4,4,2,1,3,1,2,2,1,2,1
92,1,2,5,1,3,6,1,2,2,1,3,2,2,2,1,2,1
93,1,1,9,2,3,8,1,3,3,2,1,3,2,2,1,2,1
94,1,2,7,3,2,5,1,4,2,2,4,3,2,2,1,2,2
95,1,3,6,3,2,6,3,1,4,2,1,2,1,2,1,1,2
96,1,2,8,3,3,6,1,2,1,1,1,1,2,2,1,1,1
97,0,2,4,3,3,6,1,2,2,1,1,2,1,2,1,3,2
98,1,1,9,2,2,7,1,2,3,2,1,1,2,2,1,2,1
99,1,2,3,3,3,5,1,3,2,1,1,3,1,2,1,1,1
100,1,3,6,3,2,6,3,2,4,2,1,3,2,2,1,2,2
101,1,1,8,2,3,9,1,2,4,1,2,1,2,2,1,1,1
102,1,2,6,3,3,6,4,2,4,2,2,2,1,2,1,3,2
103,1,2,4,3,0,5,1,2,2,1,2,3,2,1,1,2,1
104,1,3,6,3,3,7,1,3,4,3,3,2,2,2,1,2,2
105,1,3,6,2,0,8,1,2,2,2,1,2,2,2,1,2,2
106,1,3,8,3,3,8,1,2,4,1,1,2,2,2,1,3,2
107,1,3,7,2,3,8,1,1,3,3,1,2,2,2,1,2,2
108,1,3,6,2,3,7,1,1,4,1,3,2,1,2,1,2,2
109,1,3,8,3,3,7,4,3,4,1,3,4,2,2,1,2,1
110,0,1,8,2,0,6,1,2,3,1,2,2,2,2,1,2,2
111,1,1,9,2,2,10,1,4,2,1,2,3,1,2,1,2,2
112,1,2,8,3,0,7,3,3,3,1,3,2,2,2,1,3,2
113,1,3,8,2,2,9,1,2,4,1,1,2,2,2,1,2,2
114,1,2,7,2,2,6,4,3,2,2,3,2,2,2,1,2,2
115,1,2,7,2,0,5,1,3,3,2,1,2,2,1,1,1,1
116,1,2,9,3,2,7,1,3,4,2,3,2,2,1,1,2,2
117,1,3,6,2,1,6,3,2,2,1,3,2,2,1,1,2,2
118,1,3,9,3,3,9,3,4,4,2,3,3,2,2,1,2,2
119,1,3,6,2,2,6,3,4,4,2,4,2,2,1,1,2,2
120,1,2,4,2,3,6,1,1,4,1,4,2,2,2,1,3,2
121,1,3,4,3,1,5,1,4,2,2,2,2,2,2,1,2,2
122,1,2,9,2,3,7,1,1,4,3,3,2,2,1,1,3,2
123,1,3,8,3,3,8,1,2,4,1,3,3,2,2,1,1,1
124,1,3,8,2,3,8,3,4,4,2,2,3,1,2,1,2,2
125,1,3,6,3,3,5,1,1,3,3,4,3,2,3,1,2,2
126,1,3,8,2,3,9,4,1,4,1,1,1,2,2,1,2,1
127,1,3,9,2,2,6,3,2,1,2,3,2,2,2,1,2,2
128,1,3,7,2,0,7,1,2,2,3,2,2,2,2,1,3,2
129,1,3,6,3,3,6,2,4,3,2,1,2,2,2,1,2,2
130,1,3,6,2,2,7,1,2,2,2,1,2,2,2,1,2,1
131,1,3,7,2,2,6,1,2,3,2,1,3,2,2,1,2,2
132,1,3,9,2,2,7,1,2,2,2,1,3,2,2,1,2,2
133,1,3,7,2,3,8,1,1,3,1,1,2,2,2,1,2,1
134,1,3,9,2,0,8,1,2,2,1,3,4,2,2,1,2,2
135,1,3,9,2,2,7,3,2,4,1,1,2,2,2,1,2,1
136,1,2,8,2,0,8,3,4,4,2,1,3,2,2,1,2,2
137,1,1,6,1,0,7,2,3,2,2,3,2,1,2,1,2,1
138,1,2,9,3,3,9,4,3,1,1,2,2,2,2,1,1,1
139,1,3,6,3,3,6,4,2,3,2,3,2,2,2,1,2,2
140,1,3,4,2,3,6,4,4,2,1,1,3,2,2,1,1,2
141,1,3,9,2,3,6,4,4,1,2,1,4,2,2,1,1,1
142,1,2,6,2,3,5,4,4,2,1,3,3,2,2,1,2,2
143,1,3,9,3,2,7,1,1,2,2,3,2,2,2,1,3,1
144,1,3,4,2,3,7,4,2,4,1,3,1,2,2,1,2,1
145,1,3,7,2,1,7,4,4,4,2,1,3,2,2,1,3,2
146,1,1,6,2,1,6,4,4,4,2,4,3,1,3,1,2,2
147,1,1,8,2,2,8,4,4,2,1,2,3,2,2,1,1,2
148,1,3,8,2,3,7,1,3,2,2,3,2,2,2,1,2,2
149,1,2,6,3,3,7,1,4,4,2,2,3,2,2,1,1,1
150,1,3,8,1,3,10,3,2,3,1,1,3,2,1,1,2,1
151,1,3,8,2,3,7,1,1,2,1,3,2,1,2,1,2,1
152,1,3,2,3,1,4,4,3,2,2,4,2,2,3,1,2,2
153,1,2,6,2,0,6,2,3,2,2,3,2,1,2,1,2,2
154,1,2,8,2,3,8,3,2,3,1,3,2,2,2,1,2,2
155,1,3,6,3,3,6,1,2,4,2,1,2,2,2,1,1,1
156,1,1,8,2,3,8,1,2,4,1,3,1,1,2,1,2,1
157,1,3,5,3,3,5,1,3,3,2,3,2,2,2,1,2,1
158,0,2,2,1,3,5,1,4,4,1,4,3,2,1,1,2,1
159,1,2,8,3,2,6,1,4,1,2,3,2,2,1,1,2,2
160,1,3,8,3,3,8,1,2,4,1,2,2,2,2,1,2,1
161,1,3,6,3,3,8,3,2,2,1,1,2,2,2,1,2,2
162,1,3,6,2,2,6,1,3,2,1,2,1,2,1,1,2,2
163,1,3,8,3,2,6,1,2,4,2,4,2,2,3,1,2,2
164,1,3,8,2,3,10,1,1,4,1,2,1,2,1,1,2,2
165,1,3,9,3,0,7,1,2,4,2,3,3,2,2,1,2,2
166,1,3,5,3,3,5,1,3,4,1,3,1,2,2,1,2,1
167,1,3,6,3,3,6,1,2,3,2,1,5,2,2,1,3,2
168,1,3,8,3,2,6,1,3,2,1,3,1,1,2,1,2,1
169,1,3,9,3,3,8,1,2,1,1,3,2,2,2,1,2,2
170,1,3,4,2,3,5,1,2,4,2,3,1,2,2,1,2,1
171,0,1,8,2,0,8,1,2,4,1,1,1,2,2,1,1,1
172,1,3,8,2,3,8,1,2,3,3,1,1,2,1,1,2,1
173,1,3,6,2,3,7,1,3,3,2,3,2,1,2,1,2,1
174,1,3,8,2,3,7,1,3,4,2,3,2,2,1,1,3,2
175,1,3,6,2,3,6,3,4,3,1,3,2,2,2,1,3,2
176,1,3,6,3,3,6,2,2,3,2,2,2,2,2,1,1,2
177,1,2,8,3,1,7,2,1,3,2,2,3,2,2,1,2,1
178,1,3,7,2,3,7,1,3,4,2,3,2,1,2,1,2,2
179,1,3,2,3,3,3,3,3,4,2,3,2,2,2,1,3,2
180,1,3,9,2,3,8,1,1,1,1,1,1,2,1,1,2,2
181,1,3,7,3,0,8,1,1,4,1,2,2,2,2,1,2,1
182,1,1,5,1,3,4,4,1,2,2,3,1,1,2,1,2,1
183,1,3,5,3,3,6,1,2,4,1,3,2,2,2,1,2,2
184,1,3,9,2,3,8,1,3,3,1,3,2,2,2,1,2,1
185,1,3,4,2,3,5,2,3,2,2,3,2,2,2,1,2,2
186,1,3,8,2,0,7,4,4,4,2,3,3,2,2,1,2,2
187,1,3,6,2,3,6,3,4,3,2,3,2,2,2,1,2,2
188,1,2,4,2,3,7,1,3,3,2,3,2,2,2,1,2,1
189,1,3,7,2,0,6,2,2,1,1,3,2,1,2,1,3,2
190,1,3,6,2,3,7,2,2,4,2,3,2,2,1,1,3,2
191,1,2,4,2,3,6,4,2,2,3,3,2,2,2,1,2,1
192,1,2,2,2,0,4,4,3,1,1,3,1,2,2,1,2,1
193,1,3,6,2,0,7,4,1,4,2,2,3,2,2,1,2,1
194,1,3,8,2,3,8,1,2,3,2,3,1,2,2,1,2,1
195,1,3,5,3,1,5,1,3,3,2,3,2,2,2,1,3,2
196,1,3,9,3,0,5,1,3,1,2,4,3,2,2,1,3,2
197,1,3,7,3,2,7,1,2,4,1,4,2,2,2,1,2,1
198,1,3,8,2,3,7,2,3,3,2,4,2,2,2,1,2,1
199,1,3,2,1,3,6,1,2,1,1,1,2,1,2,1,2,1
200,1,3,5,2,3,7,3,4,4,2,3,2,1,2,1,3,1
201,1,3,6,1,1,4,4,1,3,2,1,3,1,1,1,2,2
202,1,3,7,1,3,8,4,3,4,2,3,3,1,2,1,1,1
203,1,1,6,2,2,4,4,1,1,1,2,2,2,2,1,2,2
204,1,1,7,2,0,6,4,3,2,2,1,1,2,2,1,1,1
205,1,2,7,2,3,6,1,4,1,2,1,2,1,2,1,3,2
206,1,1,8,2,3,8,1,2,2,2,1,1,2,1,1,3,2
207,1,2,8,2,3,8,4,1,4,2,2,1,2,2,1,2,1
208,1,2,2,1,0,3,4,1,4,2,4,2,2,3,1,3,2
209,1,3,9,2,3,6,2,4,3,2,3,2,2,2,1,2,2
210,1,3,10,2,0,8,4,1,1,2,1,2,2,2,1,1,1
211,1,1,6,1,2,6,3,2,4,2,1,1,1,2,1,2,2
212,1,1,6,1,2,7,3,2,4,2,1,1,1,2,1,2,2
213,1,3,9,3,0,8,1,2,1,2,1,5,2,2,1,1,1
214,1,2,9,2,0,7,4,1,4,2,1,2,2,2,1,1,1
215,1,3,9,2,0,6,1,1,1,2,2,2,2,2,1,1,1
216,1,3,9,2,1,6,4,1,1,1,1,2,2,1,1,2,1
217,1,3,9,2,0,9,3,1,2,3,1,2,2,2,1,1,1
218,1,1,3,2,0,3,1,1,1,1,1,2,2,2,1,1,2
219,1,3,9,2,0,8,4,4,4,2,2,3,2,2,1,1,1
220,1,1,7,1,3,7,1,1,3,2,4,2,1,3,1,3,2
221,1,3,5,3,3,6,4,4,4,2,2,3,1,2,1,1,1
222,1,3,6,3,1,6,1,3,3,2,3,2,2,2,1,1,2
223,1,3,6,3,1,4,3,2,2,2,3,2,2,2,1,2,1
224,1,1,7,2,2,6,3,2,4,2,3,2,2,2,1,2,1
225,1,3,6,3,3,7,3,2,4,1,1,3,2,2,1,1,1
226,1,1,7,2,0,6,2,2,3,2,3,2,2,2,1,1,2
227,1,3,8,3,0,9,1,2,4,2,3,2,2,2,1,1,1
228,1,3,7,2,3,7,3,4,4,1,1,2,1,2,1,1,1
